numStages,elapsedTime,executorRunTime,executorCpuTime,peakExecutionMemory,numNodes,numEdges,datasetSize,graphType
6,69538,138310,84784,464,10299,20176356,189.36244678497314,rgg
6,99525,200966,115956,618,8487,26917469,249.99880409240723,rgg
6,62016,121279,74300,400,7869,17407745,161.29564571380615,rgg
6,58476,115850,71118,394,6885,17163770,158.38070106506348,rgg
6,52181,97315,61908,371,7858,16140345,149.56631469726562,rgg
6,50201,96078,61376,360,9062,15666408,145.78620433807373,rgg
6,106081,277146,139218,762,12068,33096069,320.465744972229,rgg
6,75883,146734,91280,563,9114,24518968,228.10827827453613,rgg
6,44427,84154,55428,333,6235,14475323,133.13610363006592,rgg
6,45642,88978,56240,323,6708,14059073,129.65312957763672,rgg
6,78318,149613,92870,570,10580,24819742,234.35726356506348,rgg
6,80065,153956,95159,596,8520,25953514,241.04994869232178,rgg
6,31896,61982,40338,211,6306,9142481,84.09517574310303,rgg
6,87585,176794,94822,557,8840,24262748,225.609224319458,rgg
6,72678,137616,87251,535,7910,23330725,216.1792984008789,rgg
6,39833,76185,47923,250,6083,10876074,99.91885280609131,rgg
6,129578,480913,205697,1117,12702,48551005,474.50246238708496,rgg
6,54390,107381,63968,344,7524,14980196,138.6698293685913,rgg
6,94963,191355,114730,625,10444,27242818,256.52268409729004,rgg
6,74656,149780,91188,520,8734,22637504,210.38497734069824,rgg
6,115755,328044,165847,879,11424,38260753,366.8012294769287,rgg
6,112845,374628,180495,1001,12508,43458159,423.6513433456421,rgg
6,87470,203748,123925,672,8978,29253714,272.0828437805176,rgg
6,94784,241454,135922,722,11145,31432388,299.8538188934326,rgg
6,34369,65312,41983,219,5623,9552620,87.51881504058838,rgg
6,61130,113274,72200,448,7588,19521762,180.72713565826416,rgg
6,127203,357156,168537,891,12383,38709178,376.6793546676636,rgg
6,130382,466292,202854,1131,11984,49141767,475.42685413360596,rgg
6,29301,55492,35709,192,6894,8323996,76.82446479797363,rgg
6,55507,106830,67778,408,9975,17726487,165.32259559631348,rgg
6,55618,104882,67928,362,7339,15753222,145.70031642913818,rgg
6,79462,155400,96419,587,9854,25556988,238.25618171691895,rgg
6,64718,129470,76716,438,9756,19068043,177.6915407180786,rgg
6,50205,95430,62404,373,8869,16237846,150.95344257354736,rgg
